fuego,hielo,fuego,musgo,fuego,hielo,piedra,fuego,hielo,fuego,musgo,fuego
hielo,fuego,hielo,fuego,musgo,fuego,hielo,fuego,piedra,hielo,fuego,hielo
musgo,fuego,hielo,fuego,fuego,hielo,fuego,piedra,fuego,hielo,musgo,fuego
hielo,fuego,piedra,hielo,fuego,musgo,fuego,hielo,fuego,fuego,hielo,fuego
fuego,hielo,fuego,hielo,musgo,fuego,fuego,hielo,piedra,fuego,hielo,fuego
piedra,fuego,hielo,musgo,fuego,hielo,fuego,fuego,hielo,fuego,musgo,fuego
hielo,fuego,fuego,piedra,fuego,hielo,musgo,fuego,fuego,hielo,fuego,hielo
musgo,hielo,fuego,fuego,hielo,piedra,fuego,hielo,fuego,fuego,musgo,fuego
hielo,fuego,hielo,fuego,fuego,hielo,piedra,fuego,hielo,fuego,musgo,fuego
fuego,hielo,musgo,fuego,hielo,fuego,fuego,hielo,piedra,fuego,hielo,fuego
hielo,fuego,fuego,hielo,musgo,fuego,hielo,fuego,fuego,hielo,piedra,fuego
fuego,musgo,hielo,fuego,hielo,fuego,piedra,hielo,fuego,fuego,hielo,fuego
